Name,Annotation Detail,Assign to...,DOI,Date,Dedicated hours,GBIF,GitHub Issue,Number of Pages,Project,Status,TB Reference Link,Template (Auto),Template Name,Treatment(s)?,Type (Auto),UUID,Zenodo
IheringiaTreatmentCitation.pfd.imf,,Carolina Sokolowicz,717CED57316AFFB01A1FE022C251FF88,"Nov 28, 2019 → Nov 30, 2019",8,https://www.gbif.org/dataset/85f46966-7f3a-4fcd-8920-3d835e03cee2,,6,Individual Extractions,Completed,http://tb.plazi.org/GgServer/summary/717CED57316AFFB01A1FE022C251FF88,No,,Yes,Individual Extraction,717CED57316AFFB01A1FE022C251FF88,https://zenodo.org/record/3558255#.XhSd8UdKgUE
Sanborn_2008.pdf.imf,High-level,Tatiana Ruschel,10.1590/S1519-566X2008000600010,"Nov 28, 2019 → Nov 29, 2019",6,https://www.gbif.org/dataset/9bc9c91b-601b-4203-8fbe-ac6805825de1,,5,Individual Extractions,Completed,http://tb.plazi.org/GgServer/summary/731BEC6F7D71A3359F24D06B2E08FF86,No,,Yes,Individual Extraction,731BEC6F7D71A3359F24D06B2E08FF86,https://zenodo.org/record/3557762
Bento&Grossi-2019-Acta Amazonica.pdf,,Valdenar Gonçalves,10.1590/1809-4392201803571,"Nov 29, 2019 → Nov 29, 2019",2,https://www.gbif.org/dataset/6826cb8d-8283-4358-9ae9-f0789f4a9879,,4,Individual Extractions,Completed,http://tb.plazi.org/GgServer/summary/274FFF8DFFA91E77FF87C345FF56FFDC,No,,Yes,Individual Extraction,274FFF8DFFA91E77FF87C345FF56FFDC,https://zenodo.org/record/3557673
Ruschel.2018.pdf.imf,High-level,Tatiana Ruschel,10.2478/aemnp-2018-0047,"Nov 21, 2019 → Nov 21, 2019",8,https://www.gbif.org/dataset/3c9f44c6-59ff-4e7b-95e6-9c60bceb9ee5,,8,Individual Extractions,Completed,http://tb.plazi.org/GgServer/summary/FFF8FF8E9F25FF96FFB8FF95FF850B39,No,,Yes,Individual Extraction,FFF8FF8E9F25FF96FFB8FF95FF850B39,https://zenodo.org/record/3550123#.XjRTJGhKhhE
Maciel_etal-2016-Zoologia.pdf.imf,,Valdenar Gonçalves,10.1590/S1984-46702015000200007,"Nov 21, 2019 → Nov 21, 2019",5,https://www.gbif.org/dataset/83f9be2a-feb1-4c79-b0bc-194af1e20258,,5,Individual Extractions,Completed,http://tb.plazi.org/GgServer/summary/C622FFDBFFFBE717FFF5FF8DFFA1593F,No,,Yes,Individual Extraction,C622FFDBFFFBE717FFF5FF8DFFA1593F,https://zenodo.org/record/3549908
2358-2936-nau-27-e2019012.pdf,,Carolina Sokolowicz,10.1590/2358-2936e2019012,"Nov 22, 2019 → Nov 22, 2019",12,https://www.gbif.org/dataset/e50a816b-a410-44d6-ac91-a06002a0caa6,,6,Individual Extractions,Completed,http://tb.plazi.org/GgServer/summary/FFAA31633D5F3B37FFFE654CFFFB0B61,No,,Yes,Individual Extraction,FFAA31633D5F3B37FFFE654CFFFB0B61,https://zenodo.org/record/3550115#.XhSdukdKgUE
Oliveira_etal-2018-Acta_Amazonica.pdf.imf,,Valdenar Gonçalves,10.1590/1809-4392201704332,"Nov 28, 2019 → Nov 29, 2019",8,https://www.gbif.org/dataset/afbdcf03-9533-47c5-9e13-607c5a98e3f0,,6,Individual Extractions,Completed,http://tb.plazi.org/GgServer/summary/C601FF85FFD16154FF810864FFFF7026,No,,Yes,Individual Extraction,C601FF85FFD16154FF810864FFFF7026,https://zenodo.org/record/3556832
MONTEMAYOR_and_CARPINTERO-2007-A_new_macropterous_Vianaidinae.pdf,,Marcus Guidoti,,"Nov 14, 2019 → Nov 14, 2019",4,,,,Vianaidinae,Completed,http://tb.plazi.org/GgServer/summary/FF9EFFAE1F625A7FFFD0FFD0FFD0D460,No,,,Individual Extraction,FF9EFFAE1F625A7FFFD0FFD0FFD0D460,
RecAustMus.54.325–334.pdf.imf,,Tatiana Ruschel,,"Dec 02, 2019",,,,9,Individual Extractions,In Progress,,No,,,Individual Extraction,,
Fernandes_&_Delabie-2019-Sociobiology,,Valdenar Gonçalves,10.13102/sociobiology.v66i3.4354,"Dec 02, 2019 → Dec 02, 2019",4,http://www.gbif.org/dataset/f9d30657-3b3b-4b92-897a-185d53f8df7e ,,6,Individual Extractions,Completed,http://tb.plazi.org/GgServer/summary/8A7D1022B745FFD0FFCC8A7EFFD3FFBC,No,,Yes,Individual Extraction,8A7D1022B745FFD0FFCC8A7EFFD3FFBC,https://zenodo.org/record/3560195#.XkRJ9zFKhhE
